pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	122.253	19.4181	13.8809	0.0419781	50.8468	285.554	0.86397
20 <pt<25 	3<chiso range<9 	122.253	19.4181	13.8809	0.0419781	50.8468	285.554	0.86397
20 <pt<25 	3<chiso range<10 	122.253	19.4181	13.8809	0.055741	50.8468	214.895	0.86397
20 <pt<25 	3<chiso range<11 	122.253	19.4181	13.8809	0.0557288	50.8468	214.943	0.86397
20 <pt<25 	3<chiso range<12 	122.253	19.4181	13.8809	0.0625853	50.8468	191.326	0.86397
20 <pt<25 	3<chiso range<13 	122.253	19.4181	13.8809	0.0335548	50.8468	357.391	0.86397
20 <pt<25 	4<chiso range<9 	122.253	19.4181	13.8809	0.0279931	50.8468	428.521	0.86397
20 <pt<25 	4<chiso range<10 	122.253	19.4181	13.8809	0.0417372	50.8468	287.206	0.86397
20 <pt<25 	4<chiso range<11 	122.253	19.4181	13.8809	0.0417235	50.8468	287.3	0.86397
20 <pt<25 	4<chiso range<12 	122.253	19.4181	13.8809	0.0520179	50.8468	230.32	0.86397
20 <pt<25 	4<chiso range<13 	122.253	19.4181	13.8809	0.0209718	50.8468	572.197	0.86397
20 <pt<25 	5<chiso range<10 	122.253	19.4181	13.8809	0.0416143	50.8468	288.055	0.86397
20 <pt<25 	5<chiso range<11 	122.253	19.4181	13.8809	0.04156	50.8468	288.433	0.86397
20 <pt<25 	5<chiso range<12 	122.253	19.4181	13.8809	0.062218	50.8468	192.46	0.86397
20 <pt<25 	5<chiso range<13 	122.253	19.4181	13.8809	0.0208618	50.8468	575.219	0.86397
20 <pt<25 	6<chiso range<11 	122.253	19.4181	13.8809	1.12022	50.8468	10.1051	0.86397
20 <pt<25 	6<chiso range<12 	122.253	19.4181	13.8809	1.1195	50.8468	10.112	0.86397
20 <pt<25 	6<chiso range<13 	122.253	19.4181	13.8809	1.11238	50.8468	10.1807	0.86397
20 <pt<25 	7<chiso range<12 	122.253	19.4181	13.8809	0.818897	50.8468	14.051	0.86397
20 <pt<25 	7<chiso range<13 	122.253	19.4181	13.8809	0.416007	50.8468	28.2582	0.86397
20 <pt<25 	8<chiso range<13 	122.253	19.4181	13.8809	0.230234	50.8468	51.5585	0.86397
#######################################################################################
25 <pt<30 	3<chiso range<8 	120.873	29.0501	13.3098	40.7571	37.4113	1.46807	1.89826
25 <pt<30 	3<chiso range<9 	120.873	29.0501	13.3098	1.28196	78.6891	105.42	7.35625
25 <pt<30 	3<chiso range<10 	120.873	29.0501	13.3098	12.0334	67.2554	6.94327	5.64641
25 <pt<30 	3<chiso range<11 	120.873	29.0501	13.3098	12.0357	67.253	6.94106	5.64606
25 <pt<30 	3<chiso range<12 	120.873	29.0501	13.3098	24.7246	53.8877	0.870453	3.75034
25 <pt<30 	3<chiso range<13 	120.873	29.0501	13.3098	24.7302	53.8888	0.86904	3.75009
25 <pt<30 	4<chiso range<9 	120.873	29.0501	13.3098	0.0720629	79.9541	1955.6	7.5336
25 <pt<30 	4<chiso range<10 	120.873	29.0501	13.3098	0.503357	79.4505	276.03	7.46636
25 <pt<30 	4<chiso range<11 	120.873	29.0501	13.3098	0.510048	79.4433	272.347	7.46535
25 <pt<30 	4<chiso range<12 	120.873	29.0501	13.3098	11.6284	67.6598	7.35568	5.70883
25 <pt<30 	4<chiso range<13 	120.873	29.0501	13.3098	11.6381	67.6572	7.34491	5.70814
25 <pt<30 	5<chiso range<10 	120.873	29.0501	13.3098	0.331233	79.6127	421.991	7.48727
25 <pt<30 	5<chiso range<11 	120.873	29.0501	13.3098	0.337935	79.6045	413.506	7.48595
25 <pt<30 	5<chiso range<12 	120.873	29.0501	13.3098	11.4567	67.8	7.54081	5.73128
25 <pt<30 	5<chiso range<13 	120.873	29.0501	13.3098	11.4665	67.7973	7.52961	5.73057
25 <pt<30 	6<chiso range<11 	120.873	29.0501	13.3098	0.258279	79.6725	542.512	7.49555
25 <pt<30 	6<chiso range<12 	120.873	29.0501	13.3098	17.4669	61.4563	3.27475	4.7896
25 <pt<30 	6<chiso range<13 	120.873	29.0501	13.3098	17.4731	61.4498	3.27185	4.78867
25 <pt<30 	7<chiso range<12 	120.873	29.0501	13.3098	17.3894	61.5417	3.31145	4.80235
25 <pt<30 	7<chiso range<13 	120.873	29.0501	13.3098	17.4011	61.5406	3.30547	4.80166
25 <pt<30 	8<chiso range<13 	120.873	29.0501	13.3098	17.3404	61.6015	3.33451	4.81094
#######################################################################################
30 <pt<35 	3<chiso range<8 	-1.39848	-9.65771	7.88702	0.0032266	0.886164	332.803	10.1522
30 <pt<35 	3<chiso range<9 	-1.39848	-9.65771	7.88702	0.00347023	0.885261	223.956	9.99693
30 <pt<35 	3<chiso range<10 	-1.39848	-9.65771	7.88702	0.00358767	0.881872	301.456	7.78927
30 <pt<35 	3<chiso range<11 	-1.39848	-9.65771	7.88702	0.00366149	0.884998	211.671	9.99468
30 <pt<35 	3<chiso range<12 	-1.39848	-9.65771	7.88702	0.00381644	0.870971	202.628	7.78505
30 <pt<35 	3<chiso range<13 	-1.39848	-9.65771	7.88702	0.00383069	0.883273	201.106	7.84188
30 <pt<35 	4<chiso range<9 	-1.39848	-9.65771	7.88702	0.175919	0.469895	34.5816	18.7584
30 <pt<35 	4<chiso range<10 	-1.39848	-9.65771	7.88702	0.175956	0.469895	34.5745	18.7584
30 <pt<35 	4<chiso range<11 	-1.39848	-9.65771	7.88702	0.175955	0.469895	34.5746	18.7584
30 <pt<35 	4<chiso range<12 	-1.39848	-9.65771	7.88702	0.175972	0.469895	34.5712	18.7584
30 <pt<35 	4<chiso range<13 	-1.39848	-9.65771	7.88702	0.175953	0.469895	34.5751	18.7584
30 <pt<35 	5<chiso range<10 	-1.39848	-9.65771	7.88702	0.175598	0.469895	34.6436	18.7584
30 <pt<35 	5<chiso range<11 	-1.39848	-9.65771	7.88702	0.175598	0.469895	34.6437	18.7584
30 <pt<35 	5<chiso range<12 	-1.39848	-9.65771	7.88702	0.175616	0.469895	34.6402	18.7584
30 <pt<35 	5<chiso range<13 	-1.39848	-9.65771	7.88702	0.175596	0.469895	34.644	18.7584
30 <pt<35 	6<chiso range<11 	-1.39848	-9.65771	7.88702	0.175333	0.469895	34.6952	18.7584
30 <pt<35 	6<chiso range<12 	-1.39848	-9.65771	7.88702	0.175351	0.469895	34.6916	18.7584
30 <pt<35 	6<chiso range<13 	-1.39848	-9.65771	7.88702	0.175332	0.469895	34.6953	18.7584
30 <pt<35 	7<chiso range<12 	-1.39848	-9.65771	7.88702	0.26199	0.469895	23.4238	18.7584
30 <pt<35 	7<chiso range<13 	-1.39848	-9.65771	7.88702	0.26199	0.469895	23.4238	18.7584
30 <pt<35 	8<chiso range<13 	-1.39848	-9.65771	7.88702	0.205238	0.469895	29.7298	18.7584
#######################################################################################
35 <pt<40 	3<chiso range<8 	14.2333	-9.64488	4.43444	31.8849	5.37962e-05	1.84	0.152253
35 <pt<40 	3<chiso range<9 	14.2333	-9.64488	4.43444	32.0053	0.00894086	1.30004	0.171645
35 <pt<40 	3<chiso range<10 	14.2333	-9.64488	4.43444	31.6152	0.000135074	1.84517	0.139512
35 <pt<40 	3<chiso range<11 	14.2333	-9.64488	4.43444	31.6901	4.98975e-05	1.54725	0.144124
35 <pt<40 	3<chiso range<12 	14.2333	-9.64488	4.43444	31.6901	4.98975e-05	1.54725	0.144124
35 <pt<40 	3<chiso range<13 	14.2333	-9.64488	4.43444	0.301025	31.4452	0.51993	0.965432
35 <pt<40 	4<chiso range<9 	14.2333	-9.64488	4.43444	32.301	0.0104271	1.30255	0.177145
35 <pt<40 	4<chiso range<10 	14.2333	-9.64488	4.43444	31.6862	2.17853e-05	1.40263	0.149994
35 <pt<40 	4<chiso range<11 	14.2333	-9.64488	4.43444	31.7888	0.000612352	1.58493	0.140714
35 <pt<40 	4<chiso range<12 	14.2333	-9.64488	4.43444	31.7888	0.000612352	1.58493	0.140714
35 <pt<40 	4<chiso range<13 	14.2333	-9.64488	4.43444	0.196455	31.5486	1.52194	0.962885
35 <pt<40 	5<chiso range<10 	14.2333	-9.64488	4.43444	0	31.7971	inf	1.21429
35 <pt<40 	5<chiso range<11 	14.2333	-9.64488	4.43444	0	31.7971	inf	1.21429
35 <pt<40 	5<chiso range<12 	14.2333	-9.64488	4.43444	0	31.7971	inf	1.21429
35 <pt<40 	5<chiso range<13 	14.2333	-9.64488	4.43444	0	31.79	inf	1.21414
35 <pt<40 	6<chiso range<11 	14.2333	-9.64488	4.43444	0	15.9007	inf	0.85697
35 <pt<40 	6<chiso range<12 	14.2333	-9.64488	4.43444	0	15.9007	inf	0.85697
35 <pt<40 	6<chiso range<13 	14.2333	-9.64488	4.43444	0	31.7962	inf	1.23609
35 <pt<40 	7<chiso range<12 	14.2333	-9.64488	4.43444	8.21417	15.9007	1.34505	0.85697
35 <pt<40 	7<chiso range<13 	14.2333	-9.64488	4.43444	0.0477098	31.7058	5.28639	0.861097
35 <pt<40 	8<chiso range<13 	14.2333	-9.64488	4.43444	0.0363594	31.7266	7.18961	0.864075
#######################################################################################
40 <pt<45 	3<chiso range<8 	-5.94844	-9.65771	3.58734	0.0153903	0.367617	25.8062	15.2953
40 <pt<45 	3<chiso range<9 	-5.94844	-9.65771	3.58734	0.0140851	0.366801	25.8938	16.5949
40 <pt<45 	3<chiso range<10 	-5.94844	-9.65771	3.58734	0.0821078	0.00755723	516.31	54.3679
40 <pt<45 	3<chiso range<11 	-5.94844	-9.65771	3.58734	9.0824e-06	0.376563	25858.4	9.19356
40 <pt<45 	3<chiso range<12 	-5.94844	-9.65771	3.58734	9.0824e-06	0.376563	25858.4	9.19356
40 <pt<45 	3<chiso range<13 	-5.94844	-9.65771	3.58734	8.21832e-06	0.375313	42450.8	8.73859
40 <pt<45 	4<chiso range<9 	-5.94844	-9.65771	3.58734	0.106904	0.193949	56.5072	20.7926
40 <pt<45 	4<chiso range<10 	-5.94844	-9.65771	3.58734	0.053452	0.193949	112.396	20.7926
40 <pt<45 	4<chiso range<11 	-5.94844	-9.65771	3.58734	0.159413	0.00747201	65.6716	13.0324
40 <pt<45 	4<chiso range<12 	-5.94844	-9.65771	3.58734	0.159413	0.00747201	65.6716	13.0324
